GENE P MarkerN MarkerNTEST genename Annotation
ENSG00000186190 2.48354725167488e-05 11 11 BPIFB3 HiCpLOF
ENSG00000138172 5.84065481344931e-05 9 9 CALHM2 HiCpLOF
ENSG00000239810 8.90802471376073e-05 11 11 PRAMEF11 HiCpLOF
ENSG00000144554 0.000104595049309708 39 39 FANCD2 HiCpLOF
ENSG00000165684 0.000122728135654615 63 63 SNAPC4 HiCpLOF
ENSG00000161249 0.000184498030976976 24 24 DMKN HiCpLOF
ENSG00000106344 0.000227037863447799 29 29 RBM28 HiCpLOF
ENSG00000148291 0.000260055972335027 13 13 SURF2 HiCpLOF
ENSG00000170448 0.000308321764959318 20 20 NFXL1 HiCpLOF
ENSG00000105397 0.000313262163648687 18 18 TYK2 HiCpLOF
ENSG00000133401 0.000459620490477986 36 36 PDZD2 HiCpLOF
ENSG00000140299 0.000521388649514343 17 17 BNIP2 HiCpLOF
ENSG00000100413 0.00052724980336627 10 10 POLR3H HiCpLOF
ENSG00000168010 0.000582824872684906 21 21 ATG16L2 HiCpLOF
ENSG00000197912 0.000612279809957039 27 27 SPG7 HiCpLOF
ENSG00000172967 0.000632617110728595 9 9 XKR3 HiCpLOF
ENSG00000167791 0.000889859874060317 6 6 CABP2 HiCpLOF
ENSG00000161813 0.000961771488354857 6 6 LARP4 HiCpLOF
ENSG00000256660 0.00096479723345122 10 10 CLEC12B HiCpLOF
ENSG00000168385 0.000994877340699141 17 17 SEPTIN2 HiCpLOF
ENSG00000131844 0.00102315883965931 19 19 MCCC2 HiCpLOF
ENSG00000151572 0.00114309178015948 17 17 ANO4 HiCpLOF
ENSG00000198862 0.00132698561444733 26 26 LTN1 HiCpLOF
ENSG00000156990 0.0014248773876514 13 13 RPUSD3 HiCpLOF
ENSG00000062038 0.00153840120675497 13 13 CDH3 HiCpLOF
ENSG00000007255 0.00163943267609989 6 6 TRAPPC6A HiCpLOF
ENSG00000180113 0.00171788104266868 105 105 TDRD6 HiCpLOF
ENSG00000164418 0.00192995155564535 12 12 GRIK2 HiCpLOF
ENSG00000188487 0.00201633875653873 20 20 INSC HiCpLOF
ENSG00000051382 0.00212427654476799 12 12 PIK3CB HiCpLOF
ENSG00000159658 0.00221638121769296 12 12 EFCAB14 HiCpLOF
ENSG00000177685 0.00242028613652401 17 17 CRACR2B HiCpLOF
ENSG00000138182 0.00246127054947654 71 71 KIF20B HiCpLOF
ENSG00000006534 0.00267606962152123 14 14 ALDH3B1 HiCpLOF
ENSG00000130997 0.00293364243935401 31 31 POLN HiCpLOF
ENSG00000137642 0.0029348649637494 29 29 SORL1 HiCpLOF
ENSG00000128573 0.00296251040619977 4 4 FOXP2 HiCpLOF
ENSG00000100564 0.00301925613252185 7 7 PIGH HiCpLOF
ENSG00000180481 0.00309498590677781 4 4 GLIPR1L2 HiCpLOF
ENSG00000176040 0.00313948319685808 18 18 TMPRSS7 HiCpLOF
ENSG00000138759 0.0031602908584687 80 80 FRAS1 HiCpLOF
ENSG00000099960 0.00319343222514601 15 15 SLC7A4 HiCpLOF
ENSG00000131061 0.00321773136856229 18 18 ZNF341 HiCpLOF
ENSG00000186160 0.0034957236196812 8 8 CYP4Z1 HiCpLOF
ENSG00000205456 0.00364984925106782 5 5 TP53TG3D HiCpLOF
ENSG00000090661 0.00367472566106486 21 21 CERS4 HiCpLOF
ENSG00000133020 0.00380149601213731 48 48 MYH8 HiCpLOF
ENSG00000158691 0.00386132637062808 39 39 ZSCAN12 HiCpLOF
ENSG00000125207 0.00405632142308376 25 25 PIWIL1 HiCpLOF
ENSG00000243725 0.00408375935908212 8 8 TTC4 HiCpLOF
ENSG00000142233 0.00419403860526335 19 19 NTN5 HiCpLOF
ENSG00000119121 0.00424144550127337 29 29 TRPM6 HiCpLOF
ENSG00000150760 0.00432537154410528 28 28 DOCK1 HiCpLOF
ENSG00000164035 0.0046433509042898 8 8 EMCN HiCpLOF
ENSG00000197213 0.0047246841915507 13 13 ZSCAN5B HiCpLOF
ENSG00000155066 0.00486744531385253 19 19 PROM2 HiCpLOF
ENSG00000165733 0.00504519461473563 27 27 BMS1 HiCpLOF
ENSG00000125656 0.00526260505885434 6 6 CLPP HiCpLOF
ENSG00000186283 0.00536301062194378 18 18 TOR3A HiCpLOF
ENSG00000133687 0.00549783362176104 26 26 TMTC1 HiCpLOF
ENSG00000145703 0.00601552214263845 37 37 IQGAP2 HiCpLOF
ENSG00000136573 0.00613045918740418 19 19 BLK HiCpLOF
ENSG00000159459 0.00613390572934358 27 27 UBR1 HiCpLOF
ENSG00000159314 0.00648921922116341 18 18 ARHGAP27 HiCpLOF
ENSG00000187535 0.0065874083350429 47 47 IFT140 HiCpLOF
ENSG00000087303 0.006639540356292 27 27 NID2 HiCpLOF
ENSG00000158006 0.00673051513310219 19 19 PAFAH2 HiCpLOF
ENSG00000064313 0.00685171993598299 18 18 TAF2 HiCpLOF
ENSG00000168016 0.00696035664024208 71 71 TRANK1 HiCpLOF
ENSG00000109618 0.00706537673517937 13 13 SEPSECS HiCpLOF
ENSG00000140521 0.00707541361748043 29 29 POLG HiCpLOF
ENSG00000064932 0.00708564176627369 24 24 SBNO2 HiCpLOF
ENSG00000126337 0.00708781573628037 21 21 KRT36 HiCpLOF
ENSG00000110680 0.00711105670028445 3 3 CALCA HiCpLOF
ENSG00000154767 0.00730073362172945 25 25 XPC HiCpLOF
ENSG00000156096 0.00741719582592026 14 14 UGT2B4 HiCpLOF
ENSG00000119041 0.00759926245225129 24 24 GTF3C3 HiCpLOF
ENSG00000112659 0.00783838451798813 23 23 CUL9 HiCpLOF
ENSG00000067365 0.00788454605088407 16 16 METTL22 HiCpLOF
ENSG00000147687 0.00804490716388595 15 15 TATDN1 HiCpLOF
ENSG00000203995 0.00820647567909594 30 30 ZYG11A HiCpLOF
ENSG00000172367 0.00825449327276295 22 22 PDZD3 HiCpLOF
ENSG00000101574 0.00826336914212023 15 15 METTL4 HiCpLOF
ENSG00000147874 0.00868881343886074 28 28 HAUS6 HiCpLOF
ENSG00000182329 0.00869348775346934 43 43 KIAA2012 HiCpLOF
ENSG00000092853 0.00875892230055642 21 21 CLSPN HiCpLOF
ENSG00000157326 0.00878936869612401 5 5 DHRS4 HiCpLOF
ENSG00000149305 0.00882559383130843 13 13 HTR3B HiCpLOF
ENSG00000163116 0.00883255333383659 13 13 STPG2 HiCpLOF
ENSG00000136732 0.00889145742694708 4 4 GYPC HiCpLOF
ENSG00000276045 0.00890028051711667 12 12 ORAI1 HiCpLOF
ENSG00000243073 0.00919726814040289 8 8 PRAMEF4 HiCpLOF
ENSG00000181333 0.00925755922277904 38 38 HEPHL1 HiCpLOF
ENSG00000198453 0.00930540447753592 16 16 ZNF568 HiCpLOF
ENSG00000155890 0.00936123244445308 21 21 TRIM42 HiCpLOF
ENSG00000167757 0.00940468560518226 10 10 KLK11 HiCpLOF
ENSG00000114248 0.00947567938089899 10 10 LRRC31 HiCpLOF
ENSG00000179938 0.00952498000607505 14 14 GOLGA8J HiCpLOF
ENSG00000140650 0.00968801021843035 11 11 PMM2 HiCpLOF
ENSG00000172986 0.00982915304983556 12 12 GXYLT2 HiCpLOF
ENSG00000124232 0.00988321082605725 15 15 RBPJL HiCpLOF
ENSG00000169136 0.00992054791549513 5 5 ATF5 HiCpLOF
ENSG00000175003 0.0101773497857621 18 18 SLC22A1 HiCpLOF
ENSG00000104915 0.0101846192169973 12 12 STX10 HiCpLOF
ENSG00000171714 0.0102316583367321 37 37 ANO5 HiCpLOF
ENSG00000130561 0.0102732412362774 12 12 SAG HiCpLOF
ENSG00000145850 0.010356876430976 8 8 TIMD4 HiCpLOF
ENSG00000165915 0.0103596158946562 8 8 SLC39A13 HiCpLOF
ENSG00000175344 0.0103746601850395 6 6 CHRNA7 HiCpLOF
ENSG00000103254 0.0106847363808747 10 10 ANTKMT HiCpLOF
ENSG00000164946 0.0107441918594802 57 57 FREM1 HiCpLOF
ENSG00000149311 0.0107488673703144 131 131 ATM HiCpLOF
ENSG00000189350 0.0110929583582031 28 28 TOGARAM2 HiCpLOF
ENSG00000104805 0.0111465317464241 13 13 NUCB1 HiCpLOF
ENSG00000137312 0.0112187856807585 15 15 FLOT1 HiCpLOF
ENSG00000099889 0.0114796477838777 27 27 ARVCF HiCpLOF
ENSG00000103175 0.0115593725414745 15 15 WFDC1 HiCpLOF
ENSG00000171174 0.0116140909361596 7 7 RBKS HiCpLOF
ENSG00000197355 0.0116224354902544 18 18 UAP1L1 HiCpLOF
ENSG00000134917 0.011978453272449 21 21 ADAMTS8 HiCpLOF
ENSG00000187244 0.0121016066158876 19 19 BCAM HiCpLOF
ENSG00000183439 0.0122283753915413 8 8 TRIM61 HiCpLOF
ENSG00000173409 0.0122461215981436 8 8 ARV1 HiCpLOF
ENSG00000187642 0.0122654519520373 28 28 PERM1 HiCpLOF
ENSG00000169738 0.0122659065948685 12 12 DCXR HiCpLOF
ENSG00000213892 0.0125617587002361 12 12 CEACAM16 HiCpLOF
ENSG00000168386 0.0127438509546863 19 19 FILIP1L HiCpLOF
ENSG00000185507 0.0130408688139564 34 34 IRF7 HiCpLOF
ENSG00000076356 0.0133558759703248 20 20 PLXNA2 HiCpLOF
ENSG00000161958 0.0133965202194186 10 10 FGF11 HiCpLOF
ENSG00000188211 0.0134592644838577 11 11 NCR3LG1 HiCpLOF
ENSG00000228727 0.0137665737045706 8 8 SAPCD1 HiCpLOF
ENSG00000130307 0.0139221656522915 31 31 USHBP1 HiCpLOF
ENSG00000139734 0.0141593516261295 37 37 DIAPH3 HiCpLOF
ENSG00000100056 0.0142461518567654 13 13 ESS2 HiCpLOF
ENSG00000248383 0.0143986957678518 30 30 PCDHAC1 HiCpLOF
ENSG00000113273 0.0146094288919999 13 13 ARSB HiCpLOF
ENSG00000165643 0.014628509135682 11 11 SOHLH1 HiCpLOF
ENSG00000184471 0.0146417849481858 18 18 C1QTNF8 HiCpLOF
ENSG00000134070 0.0146896917157809 27 27 IRAK2 HiCpLOF
ENSG00000182685 0.0149441844001736 16 16 BRICD5 HiCpLOF
ENSG00000167508 0.015015887294632 16 16 MVD HiCpLOF
ENSG00000089048 0.0150427351214858 25 25 ESF1 HiCpLOF
ENSG00000118557 0.0154352139550222 39 39 PMFBP1 HiCpLOF
ENSG00000198270 0.0154840450452832 6 6 TMEM116 HiCpLOF
ENSG00000114812 0.0155043155325498 17 17 VIPR1 HiCpLOF
ENSG00000186049 0.0155973668626067 10 10 KRT73 HiCpLOF
ENSG00000112339 0.0157733439857012 20 20 HBS1L HiCpLOF
ENSG00000141664 0.0158135837609344 12 12 ZCCHC2 HiCpLOF
ENSG00000179761 0.0161633051545071 12 12 PIPOX HiCpLOF
ENSG00000173930 0.0162723282693028 17 17 SLCO4C1 HiCpLOF
ENSG00000100138 0.0166085533347318 9 9 SNU13 HiCpLOF
ENSG00000204301 0.0167604101652994 47 47 NOTCH4 HiCpLOF
ENSG00000130528 0.0169374244521242 11 11 HRC HiCpLOF
ENSG00000168439 0.0170766913035123 6 6 STIP1 HiCpLOF
ENSG00000120952 0.0171812190661885 11 11 PRAMEF2 HiCpLOF
ENSG00000065183 0.0175523611227908 27 27 WDR3 HiCpLOF
ENSG00000067334 0.0175768354248377 25 25 DNTTIP2 HiCpLOF
ENSG00000125445 0.017774839985936 9 9 MRPS7 HiCpLOF
